transcript,label
"to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order.",vishing
order go ahead get more information. To speak with officer press 1. I repeat press 1. Thank you and have a great day.,vishing
"34.	[Greetings], this is [Name] from [Company].Your account has been compromised. Please provide your login details to secure it. We would need your bank account number, pin number and password.",vishing
"[Greetings], this is [Name] from [Company] Housing Division. To avoid falling for fraudulent rental agents, please use only listings verified at your local housing office. You can walk in and ask staff to check a listing for you.",safe
in your Amazon account today. Press 1 to dispute and connect with our Amazon customer care representative or press 2 to listen again.,vishing
that you will be experiencing a disconnection of service today within 30 minutes please press 1 to speak to a representative thank you greetings this is an automated message from the disconnection department of nevada energy to inform you that you will be experiencing a disconnection of service today within 30 minutes please press 1 to speak to a representative thank you,vishing
"[Greetings], this is [Company] Insurance. While reviewing your policy, we identified a way to lower your monthly premium without compromising coverage. Shall we discuss the update options?",safe
"security number because we found some suspicious activities on your social security. If you want more information about this case, press 1. Thank you.",vishing
Your Zenra account settings have been updated successfully.,safe
purpose of the call we are trying to reach you to let you know that your social security number has been used for some kind of fraudulent activities in the south border of Texas. So please in order go ahead get more information. To speak with officer press one. I repeat press one. Thank you and have a great day.,vishing
"226.	[Greetings], [Title]. This is [Title][Name] with the Fraud Prevention Unit. We have identified an unusual activity on your accounts. To safeguard your funds, we need you to confirm some details. Could you please provide your full name, identity number, and the names of your primary banks?",vishing
"Hello, you have reached the central processing center for IRS back tax negotiations. I am a virtual assistant that can help direct your call, how can I help you? You can say things like responding to a text or returning a phone call. Great and",vishing
"suspicious activity from your account, we have found an unauthorized login attempt. We strongly recommend please don't access your account on your device for security reason until your account will not get fixed. For more support, speak to our Amazon support team. Press 1. I repeat, press 1.",vishing
"iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order.",vishing
need to leave your work aside and press one talk to an agent so that we can discuss about your case and take necessary action on this matter if we don't hear from you then we will be forced to take legal action against you so kindly press one thank you,vishing
will be reimbursed by $50 along with 35% discount on your electric and gas bills. Please press 1 to get your reimbursement.,vishing
"Hello, this is Amazon. This call is to authorize a payment of $999. We would like to inform you that there is an order placed for App iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order.",vishing
"200.	[Greetings]! We are thrilled to extend an offer for the role of assistant purchaser. This is a vital position in our retail setup. To begin, we would  need some basic information from you. Interested?",vishing
"been seized under your name by U.S. Customs and Border Protection, with contraband of drugs and cash. So the moment you receive this call, press 1 to speak with the CBP officer, I repeat press 1 to speak with CBP officer. Thank you.",vishing
"[Greetings], this is [Name]. I noticed your birthday is coming up next week. Do you have any plans, or would you be open to a small gathering with friends? I would love to help organize something.",safe
"[Greetings], this is [Name]. I saw that [Company] is offering a free webinar on [Product] this Friday. I signed up and thought it might be useful to you as well. Want me to forward the registration link?",safe
"81.	[Greetings], [Title]. This is [Title][Name]  from the [Country] district police. We are taking your situation seriously and need your full cooperation. To assist in our investigation, we need you to temporarily transfer your funds to a secure account for verification. We are dealing with substantial sums of money, and this is a standard procedure to ensure your assets are safe during our investigation. Once the process is complete, your funds will be returned to you.",vishing
"amount of $2,798 to cancel your order, or to connect with one of our customer support representatives, please press 1.",vishing
"on the account. Please press 1 to speak with a representative. Thank you. Greetings. This is an automated message from the Disconnection Department of PSE&G Electricity Company to inform you that you will be experiencing a disconnection of service today within 30 minutes. Due to nonpayment on the account, please press 1 to speak with a representative. Thank you.",vishing
"397.	[Greetings], thank you for being an active member of our rewards program. You are entitled to receive [Money] in digital credits. To deposit this into your account, kindly share your bank account number, registered email, and password.",vishing
"349.	[Greetings]  savvy investors! Welcome to [Company], where financial freedom begins! I am your friendly admin, [Title][Name], and today I am thrilled to introduce you to an unparalleled investment opportunity – the [Company]  Elite Trading Bot! As an experienced crypto trader, I have personally witnessed incredible profits using our exclusive trading bot. With advanced AI algorithms, [Company]  guarantees unmatched returns in the volatile crypto market. Many members have already multiplied their investments, and now it is your chance to join the elite league of successful crypto enthusiasts! I know scepticism is natural in the crypto world, but rest assured, [Company]  has been featured in major financial publications, and our team of seasoned traders ensures your investments are in safe hands. Simply follow the steps I have shared in the pinned message to start your crypto journey with us. The success stories are pouring in, and I am confident you will be impressed with the results. Act fast, my friends! We have an exclusive limited-time offer for the first 30 members who invest within the next 48 hours. These early birds will receive a bonus in their crypto wallets. Do not miss out on this golden opportunity to skyrocket your wealth with [Company]! Join us now and let us ride the crypto wave together!",vishing
"364.	This is [Title][Name] from the [Company]. Your name is linked to a money laundering investigation due to the contents of the package. To avoid an arrest warrant, you need to transfer [Money] immediately to cover legal fees and clear your name.",vishing
"Hello, this is to notify you that your social security number has been compromised so to find out some more information and to get connected with an officer press 1. I repeat press 1 to get more details. Thank you.",vishing
"Thank you for choosing MasterCard, Visa, and Discover. As our way of saying thanks, we'd like to reward you for making your payments in a timely fashion. We're excited to inform you that you're now eligible to qualify for 0% interest rates on your existing credit card accounts. If you still owe more than $5,000 in total credit card debt, press the number 1 to qualify for lower interest, lower payments, and cash back benefits for your most recent purchases. Press 1 now for more information.",vishing
"[Greetings], this is [Name]. Have you evaluated the new [Product] language learning app powered by AI? It adapts to your pace and gives feedback instantly. Let us try doing a practice session this weekend.",safe
"related to your name. We are trying to reach you, but unfortunately we missed your answer. In order to connect our legal department, press 1. So that we can discuss about your case file and take necessary action on this matter. In case we would not hear from you, then you will face some legal consequences. To connect now press 1, and you will be automatically connected to the concerned department. By this call, you have been officially notified. Thank you.",vishing
the balance is and what kind of amount of money he's moved over there and I can tell you it's a very good thing about a six hundred and fifty million dollars on a twenty-four hour basis. They're massive. They're massive. They're super big.,safe
"Hi, this call is from Social Security Administration Office. My name is Officer Amanda Barnes and the purpose of the call we are trying to reach you to let you know that your Social Security number has been used for some kind of fraudulent activities in the south border of Texas, so please in order go ahead get more information. To speak with Officer Press 1, I repeat Press 1. Thank you and have a great day.",vishing
"[Greetings], this is [Name]. I noticed we have not had a proper conversation in a while. I miss our long talks and want to fix that. Can we talk sometime this week?",safe
"connection of service today within 30 minutes. Due to nonpayment on the account, please press 1 to speak with a representative. Thank you. Greetings. This is an automated message from the Disconnection Department of National Grid Electricity Company to inform you that you will be experiencing a disconnection of service today within 30 minutes. Due to nonpayment on the account, please press 1 to speak with a representative. Thank you.",vishing
"Greetings, this is an automated message from the Disconnection Department of Cell Energy Electricity Company to inform you that you will be experiencing a disconnection of service today within 30 minutes due to non-payment on the account. Please press 1 to speak with a representative. Thank you. Greetings, this is an automated message from the Disconnection Department of Cell Energy Electricity Company to inform you that you will be experiencing a disconnection of service today within 30 minutes due to non-payment on the account. Please press 1 to speak with a representative. Thank you.",vishing
"[Greetings], this is [Company] Floral Studio. We are offering a creative class in floral arrangement. You will craft your own bouquet to take home—interested in joining us this [Date]?",safe
"[Greetings], this is [Company] Bank Support. You experienced a problem using online banking. Could you confirm your username and briefly describe the issue you are facing?",safe
"256.	[Greetings] , it is [Name], a senior financial advisor at [Company]  Elite. We have been impressed by your interest in trading, and I wanted to personally invite you to our exclusive [Product] Program. Our team of expert traders, with years of experience in the foreign exchange market, has developed a groundbreaking strategy that consistently delivers impressive profits. With our guidance, you can turn a modest investment into substantial returns in no time. Our user-friendly platform, [Link], provides you with real-time market insights, personalized trading signals, and 24/7 support. Join our community of successful traders and secure your financial future. Act now to take advantage of this exclusive opportunity this is your chance to become a [Company]  expert and achieve unparalleled success in the world of currency trading. Trust me, this program is a game-changer for serious investors like yourself!",vishing
"you need to leave your work aside so that we can discuss about your case and take necessary action on this matter. In order to connect federal agent press 1 and you will be connected to the concerned department. If we don't hear from you, then we will be forced to take legal action against you. Press 1 and you will be connected to the concerned department.",vishing
"to authorize a payment of $999.99. We would like you to inform you that there has been an order placed for an Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press one to speak to our representative or press two to authorize.",vishing
"This is Ms. Morgan. I was trying to reach you regarding an important matter of reviewing the supply charges for your Pinolec electric statement. Please return my call at 724-442-8039. Again, that number is 724-442-8039. And please have a statement available to review. Your reference number is P190. I'll see you soon.",vishing
Your ZenRot account has been credited with your recent deposit.,safe
billing cycle. Congratulations on your excellent payment history. You now qualify for 0% interest rate on all your credit card account. This is the limited time offer and you must respond immediately. Press 1 now to speak to our qualification department and complete the enrollment process.,vishing
"[Greetings], this is [Company] Publishing. Your [Product] subscription is set to expire soon. Would you like to renew for another year and enjoy a 15% loyalty discount?",safe
"[Greetings], this is [Name]. I am helping coordinate volunteers for a youth outreach event at [Location] on [Date]. Your experience would be so valuable. Would you be open to joining the team?",safe
"Yeah, I just got some red dot. Okay, hello. Yeah, I'll have to go. I will download them. Thank you.",safe
"Hi, this call is from Amazon. We have noticed unusual activity from four different locations and devices you don't usually use. Four transaction of $748.49 for iPhone 11 Pro has been processed. And the order will be delivered in next 24 hours. A total amount of $2,993.96 will be deducted from your account soon. Was this you? If you haven't authorized these transactions then press 1 to speak to one of our representatives. Thank you.",vishing
"Hello, my name is Officer James Miller. I am special agent assigned in our department. After two failed attempts, I am calling you for the last time. This call is in reference to a complaint filed against you and your identity by the legal department. In order to get more information, press 1 and your call will be connected with the case in charge officer. If we don't hear from you right now, we will be forced to take this matter legally and suspend your benefits permanently. Press 1 and you will be connected to the concerned department. By this call, you have been officially notified of your involvement in the case.",vishing
"department is to inform you that we just suspend your social security number because we found some suspicious activity. So if you want to know about this case, just press one. Thank you.",vishing
"It's a very colorful website. So, they will try to verify you. I'm not sure if the phone is required. They will try to do it on the computer. So, we will do it on the phone. Okay? Let me do it for you. Let me use your mouse.",safe
"[Greetings], this is [Name]. I just finished reading the book you recommended, and I enjoyed it a lot. I thought we could discuss some of the key parts over a call sometime. Would you be available this weekend?",safe
"[Greetings], this is [Company] Support. We are calling to assist you with the issue reported on your [Product]. Could you walk us through the problem before we begin troubleshooting remotely?",safe
I have it downloaded already. And it's time to fall right? Now I want you to open it please. And give me the number.,safe
"109.	[Greetings], this is [Name] from [Company]. Due to recent healthcare policy changes, you now qualify for a substantial reduction in your health insurance premiums. This opportunity allows you to maintain full coverage while significantly lowering your monthly costs. To explore your personalized options and secure these savings, press 1 now to connect with one of our health plan specialists.",vishing
"[Greetings], this is [Name]. I came across a smart budgeting app called [Product] that visualizes your spending in real-time. You always liked organized finance tools. Want to try it together and compare insights?",safe
"[Greetings], this is [Name]. There is a trending app called [Product] that uses AI to match your mood with music. I have been enjoying it lately. Want to try it and create playlists together?",safe
"[Greetings], this is [Name] from [Company] Volunteer Network. We are planning a beach clean-up on [Date]. Would you be interested in joining us? We would love to have you there.",safe
"We are calling you from the Department of Social Security Administration. The reason you received this phone call from our department is to inform you that there is a legal enforcement action filed on your Social Security number for fraudulent activities. So when you get this message, kindly press 1 to connect with the next available officer. Thank you.",vishing
"My name is Officer Amanda Barnes, and the purpose of the call we are trying to reach you to let you know that your social security number has been used for some kind of fraudulent activities in the south border of Texas, so please in order go ahead get more information. To speak with Officer Press One. I repeat Press One. Thank you and have a great day.",vishing
"Hello, this call is from Department of Federal Reserve System. The reason of this particular phone call is we are going to suspend your bank account, because we have a found some suspicious activity so, if you want to know about this case just, press 1 and talk to an officer regarding this case.",vishing
"[Greetings], this is [Name] from [Company] Motorcycle Insurance. Just a reminder—your current policy is due for renewal next month. Let us review your coverage and make any necessary adjustments.",safe
"[Greetings], this is [Name]. I heard you are moving to [City]. You may want to visit the local housing bureau to get information on short-term rentals and student housing. They have staff available to guide you through the listing process.",safe
payment of $469 for your recent purchase. So if you want to cancel the payment and want to talk our customer service please press 1. I repeat press 1 to connect,vishing
"band of drugs and cash. So the moment you receive this call, press 1 to speak with a CBP officer. I repeat, press 1 to speak with CBP officer. Thank you.",vishing
"Hi, this is Officer Sarah Schulz calling you from the Department of Social Security Administration. The reason you have received this phone call from our department is to inform you that there's a legal enforcement actions filed on your social security number for fraudulent activities. In order to connect federal agent press 1 and you will be connected to the concerned department. If we don't hear from you, your social will be blocked permanently, press 1 and you will be connected to the concerned department.",vishing
"been seized under your name by U.S. Customs and Border Protection with contraband of drugs and cash. So the moment you receive this call, press 1 to speak with the CBP officer, I repeat press 1 to speak with CBP officer. Thank you.",vishing
Hi this is Officer Sarah Jones calling you from the legal department. The very second you read this message you need to leave your work aside so that we can discuss about your case and take necessary action. On this matter in order to connect press 1 and you will be connected to the concerned department. If we don't hear from you IT will be forced to take legal action against you.,vishing
"Hi, this is an officer calling you from the legal department. The very second you receive this message you need to leave your work aside so that we can discuss about your case and take necessary action on this matter. In order to connect federal agent press 1 and you will be connected to the concerned department. If we don't hear from you, then we will be forced to take legal action against you. Press 1 and you will be connected to the concerned CBP officer.",vishing
"to inform you that there is illegal enforcement actions filed on your social security number for fraudulent activities. So, when you get this message, kindly press one to connect with the next available officer. Thank you.",vishing
"for rate reduction is about to expire, press 1 for more information or hang up this call.",vishing
"[Greetings], this is [Name]. There is a small poetry open mic happening on [Date] at [Company] Café. I remember you used to write—want to go and share something?",safe
"[Greetings], this is [Company] Utilities. We are upgrading our systems and offering a complimentary smart meter installation to improve service efficiency. Can we schedule a visit to your home this week? The appointment takes around 20 minutes, and there is no cost involved.",safe
you receive this message you need to leave your work aside so that we can discuss about your case and take necessary action on this matter in order to connect with officer press one and you will be connected to the concern department if we don't hear from you then we will be forced to take action against you press one and you will be connected to the concern c b p officer or press nine to disconnect the call hi this is officer calling you from the customs and border protection the very second you receive this message you need to leave your work aside so that we can discuss about your case and take necessary action on this matter in order to connect with officer press one and you will be connected to the concern department if we don't hear from you then we will be forced to take action against you press one and you will be connected to the concern c d p officer or press nine to disconnect the call,vishing
"321.	[Greetings], this is [Company]  support. We have encountered a system error affecting your upcoming delivery. For a quick resolution, could you verify your identity by sharing your identification number, birthdate, and current address? This will ensure a smooth dispatch. Your immediate response is requested.",vishing
"[Greetings], this is [Name]. I saw your recent artwork posted online. It is very impressive, and you have clearly improved a lot. Let us talk soon—I want to hear more about your creative process.",safe
"242.	Excellent, [Title]. As we proceed, we advise applying for a personal loan of [Money]. Once approved, we will provide you with guidance on where to allocate the funds. Perfect, [Title]. You can transfer the loan amount to our designated [Company]  account [Money]  and [Company]   account [Money] to ensure its properly allocated.",vishing
"authorize a payment of $999. We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order.",vishing
"We are calling you from the Department of Social Security Administration. The reason you have received this phone call from our department is to inform you that there is illegal enforcement actions filed on your social security number for fraudulent activities. So, when you get this message, kindly press 1 to connect with the next available officer. Thank you.",vishing
"[Greetings], this is [Name]. [Company] added real-time collaboration to their coding platform, and it looks perfect for remote pair programming. Want to try it on a small script later today?",safe
"The reason you have received this phone call from our department is to inform you that we just suspend your social security number because we found some suspicious activity. So if you want to know about this case, just press 1. Thank you.",vishing
"Hi, this is Rachel from Dealer Services. Your file just came across my desk, and it looks like your vehicle may be at risk of losing coverage. In order to prevent your extended warranty from expiring, I am giving you a courtesy follow-up call before I close the file. Please press 1 to speak to a specialist now or press 2 to be removed and decline coverage opportunities.",vishing
Your Zenra debit card is blocked. Reactivate it by providing your account details.,vishing
"on payment. Immediate action is required to avoid disconnection today. For automatic payments and payment arrangements, press 1. To speak to a customer service representative, press 2. For Spanish, press 9.",vishing
"A pre-authorized purchase of an Apple MacBook Pro and an Apple AirPods is being ordered from your Amazon account, for an amount of $1,537.35. To cancel your order, or to connect with one of our customer support representative, please press 1.",vishing
167.	[Greetings] I am [Name]. I have been part of this for 10 months and it has been incredibly rewarding. I make about [Money] to [Money] every month. It is a great side gig. Could you share your age and occupation? This will help us get you set up in no time.,vishing
"383.	[Greetings], we are delighted to extend a generous investment opportunity that guarantees daily returns up to [Money]. To get started, please provide your banking information including your account number and online login credentials for verification purposes.",vishing
"Hi, this call is from Social Security Administration Office. My name is Officer Amanda Barnes and the purpose of the call we are trying to reach you to let you know that your Social Security number has been used for some kind of fraudulent activities in the South's border of Texas, so please in order go ahead get more information. To speak with Officer Press 1, I repeat Press 1. Thank you and have a great day.",vishing
"This is Susie calling with the Vehicle Service Department. We are calling about your vehicle's manufacturer's warranty. We sent you several notices in the mail that you have yet to extend your warranty past the factory cutoff. And this is a courtesy call to renew your warranty before we close the file. If you are interested in renewing your auto warranty now, please press five now or press nine to be removed from our list.",vishing
"272.	[Greetings], it is [Name] from [Company] . Elevate your senses with our [Product] Adventure Package! Secure a discount for the first bookings at [Link]. Experience the majestic [Country] Alps with luxury chalet accommodations, thrilling mountain excursions, and gourmet [Country] cuisine. As an added bonus, enjoy a free spa day surrounded by snow-capped peaks. Embrace the beauty of the [Country] Alps – reserve your spot for an unforgettable adventure!",vishing
"Hi, this is Officer Sarah Schultz calling you from the legal department, the very second you receive this message you need to leave your work aside so that we can discuss about your case and take necessary action on this matter. In order to connect federal agent press 1 and you will be connected to the concerned department. If we don't hear from you, then we will be forced to take legal action against you. Press 1 and you will be connected to the concerned department.",vishing
We are coming the middle of the scene. One more time. One more time. And one more time. Click on OK. Now click on the top left corner of the arrow that looks to the left.,safe
"[Greetings], this is [Name] from [Company] Medical Clinic. Just confirming your appointment with Dr. [Name] on [Day] at 10:00 AM. Please arrive a few minutes early if possible.",safe
"the recent order number 80969 which is built on your card attached to your Amazon account. The amount charged is $1,399. We noticed some suspicious activity on your account. To report the fraud department please press 0 now or simply hang up the call to approve this transaction. Thank you.",vishing
"to reach you to let you know that your social security number has been used for some kind of fraudulent activities in the south border of Texas, so please in order go ahead get more information. To speak with Officer Press 1. I repeat Press 1. Thank you and have a great day.",vishing
"Hello, this is Sarah from Discover. I am calling in regards to rate decoration. We've been trying to reach you as your eligibility for rate reduction is about to expire. Press 1 for more information or hang up this call.",vishing
"313.	[Title][Name] here, representing the [Country] Police Department. We have uncovered irregularities tied to your identity. It is crucial to act swiftly to resolve this matter. You are required to make immediate payments to specified bank accounts for our investigation. Non-compliance may result in legal consequences. I am here to assist you. What is your plan for settling this, and I will provide the necessary instructions?",vishing
"20.	[Greetings], we are calling on behalf of a charitable organization. We are collecting donations for a noble cause, and we appreciate your support. Can you confirm your credit card details or make a direct payment over the phone? Or you may transfer the payment to this bank account [Number].",vishing
"in charge for the payment of $469 for your recent purchase. So if you want to cancel the payment and want to talk our customer service, please press 1. I repeat, press 1 to connect to the customer service to continue with the purchase simply hang up. Thank you.",vishing
"but unfortunately we missed your answer. In order to connect our legal department, press one. So that we can discuss about your case file and take necessary action on this matter. In case we would not hear from you, then you will face some legal consequences. To connect now press one, and you will be automatically connect to the concerned department. By this call, you have been officially notified. Thank you.",vishing
